// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/98d81589-4374-4608-95e3-94c34571516b
// command took 1.08s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/98d81589-4374-4608-95e3-94c34571516b
// command took 1.81s and exited with 0
// ***** Done, took 00:00:02 (3 sec)   *****
// Found 2 benchmarks:
//   JitOptimizationBenchmark.WriteInField: DefaultJob
//   JitOptimizationBenchmark.WriteInLocalVariable: DefaultJob

// **************************
// Benchmark: JitOptimizationBenchmark.WriteInField: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "98d81589-4374-4608-95e3-94c34571516b.dll" --benchmarkName "ConsoleApp1.JitOptimizationBenchmark.WriteInField" --job "Default" --benchmarkId 0 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ArraysBenchmark/bin/Release/netcoreapp3.0/98d81589-4374-4608-95e3-94c34571516b/bin/Release/netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 313992.00 ns, 313.9920 us/op
WorkloadJitting  1: 1 op, 173390.00 ns, 173.3900 us/op

OverheadJitting  2: 16 op, 248283.00 ns, 15.5177 us/op
WorkloadJitting  2: 16 op, 268754.00 ns, 16.7971 us/op

WorkloadPilot    1: 16 op, 502.00 ns, 31.3750 ns/op
WorkloadPilot    2: 32 op, 598.00 ns, 18.6875 ns/op
WorkloadPilot    3: 64 op, 737.00 ns, 11.5156 ns/op
WorkloadPilot    4: 128 op, 821.00 ns, 6.4141 ns/op
WorkloadPilot    5: 256 op, 1049.00 ns, 4.0977 ns/op
WorkloadPilot    6: 512 op, 1679.00 ns, 3.2793 ns/op
WorkloadPilot    7: 1024 op, 2868.00 ns, 2.8008 ns/op
WorkloadPilot    8: 2048 op, 5251.00 ns, 2.5640 ns/op
WorkloadPilot    9: 4096 op, 10057.00 ns, 2.4553 ns/op
WorkloadPilot   10: 8192 op, 19950.00 ns, 2.4353 ns/op
WorkloadPilot   11: 16384 op, 38856.00 ns, 2.3716 ns/op
WorkloadPilot   12: 32768 op, 77085.00 ns, 2.3524 ns/op
WorkloadPilot   13: 65536 op, 153789.00 ns, 2.3466 ns/op
WorkloadPilot   14: 131072 op, 307245.00 ns, 2.3441 ns/op
WorkloadPilot   15: 262144 op, 618747.00 ns, 2.3603 ns/op
WorkloadPilot   16: 524288 op, 1247714.00 ns, 2.3798 ns/op
WorkloadPilot   17: 1048576 op, 2455328.00 ns, 2.3416 ns/op
WorkloadPilot   18: 2097152 op, 4664689.00 ns, 2.2243 ns/op
