// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ConsoleApp1/bin/Release/netcoreapp3.0/d97519c7-88ea-4bb4-8ddd-49f5dc1e1e59
// command took 0.97s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ConsoleApp1/bin/Release/netcoreapp3.0/d97519c7-88ea-4bb4-8ddd-49f5dc1e1e59
// command took 1.79s and exited with 0
// ***** Done, took 00:00:02 (2.87 sec)   *****
// Found 4 benchmarks:
//   CompareArraysBuildersBenchmark.AsList: DefaultJob [_count=1001]
//   CompareArraysBuildersBenchmark.WithChunks: DefaultJob [_count=1001]
//   CompareArraysBuildersBenchmark.AsList: DefaultJob [_count=10001]
//   CompareArraysBuildersBenchmark.WithChunks: DefaultJob [_count=10001]

// **************************
// Benchmark: CompareArraysBuildersBenchmark.AsList: DefaultJob [_count=1001]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d97519c7-88ea-4bb4-8ddd-49f5dc1e1e59.dll" --benchmarkName "ConsoleApp1.CompareArraysBuildersBenchmark.AsList(_count: 1001)" --job "Default" --benchmarkId 0 in /Users/evgenijterehin/RiderProjects/ConsoleApp1/ConsoleApp1/bin/Release/netcoreapp3.0/d97519c7-88ea-4bb4-8ddd-49f5dc1e1e59/bin/Release/netcoreapp3.0
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 302839.00 ns, 302.8390 us/op
WorkloadJitting  1: 1 op, 600116.00 ns, 600.1160 us/op

OverheadJitting  2: 16 op, 234707.00 ns, 14.6692 us/op
WorkloadJitting  2: 16 op, 636446.00 ns, 39.7779 us/op

WorkloadPilot    1: 16 op, 264404.00 ns, 16.5252 us/op
WorkloadPilot    2: 32 op, 723686.00 ns, 22.6152 us/op
WorkloadPilot    3: 64 op, 1428437.00 ns, 22.3193 us/op
WorkloadPilot    4: 128 op, 2842064.00 ns, 22.2036 us/op
WorkloadPilot    5: 256 op, 5039480.00 ns, 19.6855 us/op
WorkloadPilot    6: 512 op, 11274389.00 ns, 22.0203 us/op
WorkloadPilot    7: 1024 op, 23655925.00 ns, 23.1015 us/op
WorkloadPilot    8: 2048 op, 40536214.00 ns, 19.7931 us/op
WorkloadPilot    9: 4096 op, 62577167.00 ns, 15.2776 us/op
WorkloadPilot   10: 8192 op, 100448534.00 ns, 12.2618 us/op
WorkloadPilot   11: 16384 op, 209527254.00 ns, 12.7885 us/op
WorkloadPilot   12: 32768 op, 358577881.00 ns, 10.9429 us/op
